#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-10-31T19:46:12 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-10-31T19:46:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VI/49/bound_18&-order=I&-out=RAB1875&-out=DEB1875&-out=cst&-out=type&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_6049
#Name: VI/49
#Title: Constellation Boundary Data (Davenhall+ 1989)
#INFO	ivoid=ivo://cds.vizier/vi/49	    IVOID of underlying data collection
#INFO	creator=Davenhall A.C.	    First author or institution
#INFO	cites=bibcode:1997yCat.6049....0D	    Bibcode of the dataset
#INFO	original_date=1997	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/49	    Dataset landing page
#INFO	publication_date=2024-10-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1875:	eq_FK4 B1875
#Table	VI_49_bound_18:
#Name: VI/49/bound_18
#Title: Boundaries for B1875 (original file)
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAB1875	(F8.4)	[0/24]? Right ascension in decimal hours (B1875)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1875	(F9.5)	[-90/88]? Declination in degrees (1875)	[ucd=pos.eq.dec;meta.main]
#Column	cst	(A4)	Constellation abbreviation	[ucd=meta.id.part]
#Column	type	(A1)	[O] Type of point (O = original)	[ucd=meta.note]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;RAB1875;DEB1875;cst;type;_RA.icrs;_DE.icrs
354.044092;+35.191265;352.5000;+34.50000;AND ;O;354.0441;+35.19126
141.904131;-24.542539;140.5000;-24.00000;ANT ;O;141.9041;-24.54254
141.771393;-37.292047;140.5000;-36.75000;ANT ;O;141.7714;-37.29205
141.733854;-40.291907;140.5000;-39.75000;ANT ;O;141.7339;-40.29191
166.456340;-40.424671;165.0000;-39.75000;ANT ;O;166.4563;-40.42467
166.479208;-35.674699;165.0000;-35.00000;ANT ;O;166.4792;-35.67470
163.958339;-35.666540;162.4999;-35.00000;ANT ;O;163.9583;-35.66654
163.977716;-31.833239;162.4999;-31.16667;ANT ;O;163.9777;-31.83324
160.201209;-31.818625;158.7499;-31.16667;ANT ;O;160.2012;-31.81863
160.212723;-29.818647;158.7499;-29.16667;ANT ;O;160.2127;-29.81865
155.181136;-29.794817;153.7500;-29.16667;ANT ;O;155.1811;-29.79482
155.199157;-27.128190;153.7500;-26.50000;ANT ;O;155.1992;-27.12819
147.659083;-27.083529;146.2500;-26.50000;ANT ;O;147.6591;-27.08353
147.679482;-24.583593;146.2500;-24.00000;ANT ;O;147.6795;-24.58359
209.111251;-83.120165;205.0000;-82.50000;APS ;O;209.1113;-83.12017
276.866607;-82.458278;270.0000;-82.50000;APS ;O;276.8666;-82.45828
274.195298;-74.974524;270.0000;-75.00000;APS ;O;274.1953;-74.97452
273.280189;-67.480084;270.0000;-67.50000;APS ;O;273.2802;-67.48008
265.775848;-67.571125;262.5000;-67.50000;APS ;O;265.7758;-67.57112
258.242599;-67.661119;255.0000;-67.50000;APS ;O;258.2426;-67.66112
258.470808;-70.159775;255.0000;-70.00000;APS ;O;258.4708;-70.15978
224.166478;-70.511618;221.2500;-70.00000;APS ;O;224.1665;-70.51162
207.460839;-70.624524;205.0000;-70.00000;APS ;O;207.4608;-70.62452
207.781426;-75.623679;205.0000;-75.00000;APS ;O;207.7814;-75.62368
309.598803;+00.436187;307.9999;+00.00000;AQR ;O;309.5988;+00.43619
309.579853;+02.436096;307.9999;+02.00000;AQR ;O;309.5799;+02.43610
314.081056;+02.477326;312.4999;+02.00000;AQR ;O;314.0811;+02.47733
321.583416;+02.539386;319.9999;+02.00000;AQR ;O;321.5834;+02.53939
323.584215;+02.554418;322.0000;+02.00000;AQR ;O;323.5842;+02.55442
323.578692;+03.304397;322.0000;+02.75000;AQR ;O;323.5787;+03.30440
326.580181;+03.325673;325.0000;+02.75000;AQR ;O;326.5802;+03.32567
326.587026;+02.325698;325.0000;+01.75000;AQR ;O;326.5870;+02.32570
331.588714;+02.357618;330.0000;+01.75000;AQR ;O;331.5887;+02.35762
331.587229;+02.607613;330.0000;+02.00000;AQR ;O;331.5872;+02.60761
342.842144;+02.662212;341.2500;+02.00000;AQR ;O;342.8421;+02.66221
342.849639;+00.662229;341.2500;+00.00000;AQR ;O;342.8496;+00.66223
342.864630;-03.337737;341.2500;-04.00000;AQR ;O;342.8646;-03.33774
359.102121;-03.304189;357.4999;-04.00000;AQR ;O;359.1021;-03.30419
359.103210;-06.304184;357.4999;-07.00000;AQR ;O;359.1032;-06.30418
359.110472;-24.804154;357.4999;-25.50000;AQR ;O;359.1105;-24.80415
346.680871;-24.825001;345.0000;-25.50000;AQR ;O;346.6809;-24.82500
329.770240;-24.904002;328.0000;-25.50000;AQR ;O;329.7702;-24.90400
329.656097;-08.404380;328.0000;-09.00000;AQR ;O;329.6561;-08.40438
321.668368;-08.460276;319.9999;-09.00000;AQR ;O;321.6684;-08.46028
321.716383;-14.460085;319.9999;-15.00000;AQR ;O;321.7164;-14.46009
309.743875;-14.563115;307.9999;-15.00000;AQR ;O;309.7439;-14.56311
309.684626;-08.563400;307.9999;-09.00000;AQR ;O;309.6846;-08.56340
280.350187;+00.115500;278.7499;+00.00000;AQL ;O;280.3502;+00.11550
280.326214;+02.115357;278.7499;+02.00000;AQL ;O;280.3262;+02.11536
284.576391;+02.165915;283.0000;+02.00000;AQL ;O;284.5764;+02.16592
284.525943;+06.415617;283.0000;+06.25000;AQL ;O;284.5259;+06.41562
281.458537;+06.379205;279.9333;+06.25000;AQL ;O;281.4585;+06.37920
281.388018;+12.128784;279.9333;+12.00000;AQL ;O;281.3880;+12.12878
284.456225;+12.165205;283.0000;+12.00000;AQL ;O;284.4562;+12.16521
284.373601;+18.664717;283.0000;+18.50000;AQL ;O;284.3736;+18.66472
286.375469;+18.688231;285.0000;+18.50000;AQL ;O;286.3755;+18.68823
286.405469;+16.355076;285.0000;+16.16667;AQL ;O;286.4055;+16.35508
298.921138;+16.495731;297.4999;+16.16667;AQL ;O;298.9211;+16.49573
298.925975;+16.079087;297.4999;+15.75000;AQL ;O;298.9260;+16.07909
303.558948;+16.127516;302.1250;+15.75000;AQL ;O;303.5589;+16.12752
303.636632;+08.877917;302.1250;+08.50000;AQL ;O;303.6366;+08.87792
306.013931;+08.901828;304.5000;+08.50000;AQL ;O;306.0139;+08.90183
306.079082;+02.402155;304.5000;+02.00000;AQL ;O;306.0791;+02.40216
309.579853;+02.436096;307.9999;+02.00000;AQL ;O;309.5799;+02.43610
309.598803;+00.436187;307.9999;+00.00000;AQL ;O;309.5988;+00.43619
309.684626;-08.563400;307.9999;-09.00000;AQL ;O;309.6846;-08.56340
301.693674;-08.643060;300.0000;-09.00000;AQL ;O;301.6937;-08.64306
301.726354;-11.676217;300.0000;-12.03333;AQL ;O;301.7264;-11.67622
284.744011;-11.866424;283.0000;-12.03333;AQL ;O;284.7440;-11.86642
284.647260;-03.833666;283.0000;-04.00000;AQL ;O;284.6473;-03.83367
280.398181;-03.884212;278.7499;-04.00000;AQL ;O;280.3982;-03.88421
249.034748;-60.264493;246.3124;-60.00000;ARA ;O;249.0347;-60.26449
248.570630;-45.767081;246.3124;-45.50000;ARA ;O;248.5706;-45.76708
269.809297;-45.516352;267.4999;-45.50000;ARA ;O;269.8093;-45.51635
272.309024;-45.485979;270.0000;-45.50000;ARA ;O;272.3090;-45.48598
272.672317;-56.983775;270.0000;-57.00000;ARA ;O;272.6723;-56.98377
265.168259;-57.074788;262.5000;-57.00000;ARA ;O;265.1683;-57.07479
265.775848;-67.571125;262.5000;-67.50000;ARA ;O;265.7758;-67.57112
258.242599;-67.661119;255.0000;-67.50000;ARA ;O;258.2426;-67.66112
255.725066;-67.690614;252.4999;-67.50000;ARA ;O;255.7251;-67.69061
255.542455;-65.191676;252.4999;-65.00000;ARA ;O;255.5425;-65.19168
254.283599;-65.206283;251.2500;-65.00000;ARA ;O;254.2836;-65.20628
254.195194;-63.790123;251.2500;-63.58333;ARA ;O;254.1952;-63.79012
251.676386;-63.819033;248.7499;-63.58333;ARA ;O;251.6764;-63.81903
251.537906;-61.236490;248.7499;-61.00000;ARA ;O;251.5379;-61.23649
249.081688;-61.264231;246.3124;-61.00000;ARA ;O;249.0817;-61.26423
031.665095;+10.514386;030.0000;+09.91667;ARI ;O;031.6651;+10.51439
026.655590;+10.543230;025.0000;+09.91667;ARI ;O;026.6556;+10.54323
026.744528;+25.626301;025.0000;+25.00000;ARI ;O;026.7445;+25.62630
030.513559;+25.605038;028.7500;+25.00000;ARI ;O;030.5136;+25.60504
030.530463;+27.854984;028.7500;+27.25000;ARI ;O;030.5305;+27.85498
038.069980;+27.804731;036.2500;+27.25000;ARI ;O;038.0700;+27.80473
038.103022;+31.221275;036.2500;+30.66667;ARI ;O;038.1030;+31.22128
042.628204;+31.186464;040.7500;+30.66667;ARI ;O;042.6282;+31.18646
052.426478;+31.100328;050.5000;+30.66667;ARI ;O;052.4265;+31.10033
052.290438;+19.434316;050.5000;+19.00000;ARI ;O;052.2904;+19.43432
051.037049;+19.446096;049.2499;+19.00000;ARI ;O;051.0370;+19.44610
050.946229;+10.363200;049.2499;+09.91667;ARI ;O;050.9462;+10.36320
069.486727;+30.921852;067.5000;+30.66667;AUR ;O;069.4867;+30.92185
069.573621;+36.254687;067.5000;+36.00000;AUR ;O;069.5736;+36.25469
072.457121;+36.221826;070.3750;+36.00000;AUR ;O;072.4571;+36.22183
072.840029;+52.719613;070.3750;+52.50000;AUR ;O;072.8400;+52.71961
077.484504;+52.665525;075.0000;+52.50000;AUR ;O;077.4845;+52.66552
077.606489;+56.164804;075.0000;+56.00000;AUR ;O;077.6065;+56.16480
094.130798;+55.965799;091.5000;+56.00000;AUR ;O;094.1308;+55.96580
094.057081;+53.966247;091.5000;+54.00000;AUR ;O;094.0571;+53.96625
100.045747;+53.893828;097.5000;+54.00000;AUR ;O;100.0457;+53.89383
099.919190;+49.894589;097.5000;+50.00000;AUR ;O;099.9192;+49.89459
104.406085;+49.841009;102.0000;+50.00000;AUR ;O;104.4061;+49.84101
104.265044;+44.341845;102.0000;+44.50000;AUR ;O;104.2650;+44.34185
112.733870;+44.243566;110.5000;+44.50000;AUR ;O;112.7339;+44.24357
112.560481;+35.244546;110.5000;+35.50000;AUR ;O;112.5605;+35.24455
100.090036;+35.390567;097.9999;+35.50000;AUR ;O;100.0900;+35.39057
099.965430;+27.891316;097.9999;+28.00000;AUR ;O;099.9654;+27.89132
090.220847;+28.009286;088.2499;+28.00000;AUR ;O;090.2208;+28.00929
090.228675;+28.509238;088.2499;+28.50000;AUR ;O;090.2287;+28.50924
073.212259;+28.712423;071.2500;+28.50000;AUR ;O;073.2123;+28.71242
073.235129;+30.212289;071.2500;+30.00000;AUR ;O;073.2351;+30.21229
069.476572;+30.255239;067.5000;+30.00000;AUR ;O;069.4766;+30.25524
227.781422;+07.525413;226.2499;+08.00000;BOO ;O;227.7814;+07.52541
204.063750;+07.360598;202.5000;+08.00000;BOO ;O;204.0638;+07.36060
204.028825;+14.360525;202.5000;+15.00000;BOO ;O;204.0288;+14.36053
203.953778;+27.860365;202.5000;+28.50000;BOO ;O;203.9538;+27.86036
210.788741;+27.897701;209.3749;+28.50000;BOO ;O;210.7887;+27.89770
210.770767;+30.147649;209.3749;+30.75000;BOO ;O;210.7708;+30.14765
211.888848;+30.154592;210.4999;+30.75000;BOO ;O;211.8888;+30.15459
211.698660;+47.904012;210.4999;+48.50000;BOO ;O;211.6987;+47.90401
211.584324;+54.903657;210.4999;+55.50000;BOO ;O;211.5843;+54.90366
217.251206;+54.942314;216.2500;+55.50000;BOO ;O;217.2512;+54.94231
229.591033;+55.044934;228.7500;+55.50000;BOO ;O;229.5910;+55.04493
229.657341;+52.545238;228.7500;+53.00000;BOO ;O;229.6573;+52.54524
237.084471;+52.617537;236.2500;+53.00000;BOO ;O;237.0845;+52.61754
237.124589;+51.117740;236.2500;+51.50000;BOO ;O;237.1246;+51.11774
237.365410;+39.618960;236.2500;+40.00000;BOO ;O;237.3654;+39.61896
232.643613;+39.572169;231.4999;+40.00000;BOO ;O;232.6436;+39.57217
232.746937;+32.572659;231.4999;+33.00000;BOO ;O;232.7469;+32.57266
229.015869;+32.537726;227.7499;+33.00000;BOO ;O;229.0159;+32.53773
229.099454;+25.538099;227.7499;+26.00000;BOO ;O;229.0995;+25.53810
227.605437;+25.524653;226.2499;+26.00000;BOO ;O;227.6054;+25.52465
065.076198;-39.700691;064.0000;-40.00000;CAE ;O;065.0762;-39.70069
064.882152;-48.699619;064.0000;-49.00000;CAE ;O;064.8822;-48.69962
068.362005;-48.738407;067.5000;-49.00000;CAE ;O;068.3620;-48.73841
068.423858;-46.238758;067.5000;-46.50000;CAE ;O;068.4239;-46.23876
073.401841;-46.295866;072.4999;-46.50000;CAE ;O;073.4018;-46.29587
073.482132;-42.796335;072.4999;-43.00000;CAE ;O;073.4821;-42.79634
075.974206;-42.825521;075.0000;-43.00000;CAE ;O;075.9742;-42.82552
076.254721;-27.077181;075.0000;-27.25000;CAE ;O;076.2547;-27.07718
073.759081;-27.047956;072.4999;-27.25000;CAE ;O;073.7591;-27.04796
071.763120;-27.024852;070.5000;-27.25000;CAE ;O;071.7631;-27.02485
071.722205;-29.774615;070.5000;-30.00000;CAE ;O;071.7222;-29.77461
069.976434;-29.754629;068.7499;-30.00000;CAE ;O;069.9764;-29.75463
069.862154;-36.753974;068.7499;-37.00000;CAE ;O;069.8622;-36.75397
065.129639;-36.700987;064.0000;-37.00000;CAE ;O;065.1296;-36.70099
094.130798;+55.965799;091.5000;+56.00000;CAM ;O;094.1308;+55.96580
077.606489;+56.164804;075.0000;+56.00000;CAM ;O;077.6065;+56.16480
077.484504;+52.665525;075.0000;+52.50000;CAM ;O;077.4845;+52.66552
072.840029;+52.719613;070.3750;+52.50000;CAM ;O;072.8400;+52.71961
052.312864;+52.936552;049.9999;+52.50000;CAM ;O;052.3129;+52.93655
052.381673;+55.436226;049.9999;+55.00000;CAM ;O;052.3817;+55.43623
049.853803;+55.459595;047.5000;+55.00000;CAM ;O;049.8538;+55.45959
049.913271;+57.459324;047.5000;+57.00000;CAM ;O;049.9133;+57.45932
048.900704;+57.468437;046.5000;+57.00000;CAM ;O;048.9007;+57.46844
049.395183;+68.466222;046.5000;+68.00000;CAM ;O;049.3952;+68.46622
054.236741;+68.421382;051.2500;+68.00000;CAM ;O;054.2367;+68.42138
055.308330;+77.416243;051.2500;+77.00000;CAM ;O;055.3083;+77.41624
056.725783;+77.402526;052.6249;+77.00000;CAM ;O;056.7258;+77.40253
057.529966;+80.398600;052.6249;+80.00000;CAM ;O;057.5300;+80.39860
080.488260;+80.147818;075.0000;+80.00000;CAM ;O;080.4883;+80.14782
084.534934;+85.123923;075.0000;+85.00000;CAM ;O;084.5349;+85.12392
127.952574;+84.610419;120.0000;+85.00000;CAM ;O;127.9526;+84.61042
130.401376;+86.097586;120.0000;+86.50000;CAM ;O;130.4014;+86.09759
213.023307;+85.930900;217.5000;+86.50000;CAM ;O;213.0233;+85.93090
216.782954;+79.445073;217.5000;+80.00000;CAM ;O;216.7830;+79.44507
203.809168;+79.363027;203.7499;+80.00000;CAM ;O;203.8092;+79.36303
204.156976;+76.363905;203.7499;+77.00000;CAM ;O;204.1570;+76.36390
195.820510;+76.329001;195.0000;+77.00000;CAM ;O;195.8205;+76.32900
174.434545;+76.308503;172.5000;+77.00000;CAM ;O;174.4345;+76.30850
174.531298;+79.308435;172.5000;+80.00000;CAM ;O;174.5313;+79.30844
162.818215;+79.340264;160.0000;+80.00000;CAM ;O;162.8182;+79.34026
163.104984;+81.339692;160.0000;+82.00000;CAM ;O;163.1050;+81.33969
142.190573;+81.467828;137.5000;+82.00000;CAM ;O;142.1906;+81.46783
140.615093;+72.974195;137.5000;+73.50000;CAM ;O;140.6151;+72.97419
123.085806;+73.138410;119.5000;+73.50000;CAM ;O;123.0858;+73.13841
122.128811;+59.643428;119.5000;+60.00000;CAM ;O;122.1288;+59.64343
107.752888;+59.803735;105.0000;+60.00000;CAM ;O;107.7529;+59.80373
107.851235;+61.803160;105.0000;+62.00000;CAM ;O;107.8512;+61.80316
094.407131;+61.964121;091.5000;+62.00000;CAM ;O;094.4071;+61.96412
140.404064;+06.470082;138.7500;+07.00000;CNC ;O;140.4041;+06.47008
122.921180;+06.630247;121.2499;+07.00000;CNC ;O;122.9212;+06.63025
120.548131;+06.654994;118.8750;+07.00000;CNC ;O;120.5481;+06.65499
120.580455;+09.654825;118.8750;+10.00000;CNC ;O;120.5805;+09.65483
118.832283;+09.673437;117.1249;+10.00000;CNC ;O;118.8323;+09.67344
118.871400;+13.173228;117.1249;+13.50000;CNC ;O;118.8714;+13.17323
118.947335;+19.672824;117.1249;+20.00000;CNC ;O;118.9473;+19.67282
120.069906;+19.660837;118.2499;+20.00000;CNC ;O;120.0699;+19.66084
120.171435;+27.660301;118.2499;+28.00000;CNC ;O;120.1714;+27.66030
121.915747;+27.641936;120.0000;+28.00000;CNC ;O;121.9157;+27.64194
121.993000;+33.141535;120.0000;+33.50000;CNC ;O;121.9930;+33.14153
140.645774;+32.969154;138.7500;+33.50000;CNC ;O;140.6458;+32.96915
181.594366;+33.304022;180.0000;+34.00000;CVN ;O;181.5944;+33.30402
181.591260;+44.304035;180.0000;+45.00000;CVN ;O;181.5913;+44.30403
182.826305;+44.304408;181.2499;+45.00000;CVN ;O;182.8263;+44.30441
182.818380;+52.304415;181.2499;+53.00000;CVN ;O;182.8184;+52.30441
203.742307;+52.359884;202.5000;+53.00000;CVN ;O;203.7423;+52.35988
203.795027;+47.860007;202.5000;+48.50000;CVN ;O;203.7950;+47.86001
211.698660;+47.904012;210.4999;+48.50000;CVN ;O;211.6987;+47.90401
211.888848;+30.154592;210.4999;+30.75000;CVN ;O;211.8888;+30.15459
210.770767;+30.147649;209.3749;+30.75000;CVN ;O;210.7708;+30.14765
210.788741;+27.897701;209.3749;+28.50000;CVN ;O;210.7887;+27.89770
203.953778;+27.860365;202.5000;+28.50000;CVN ;O;203.9538;+27.86036
200.226475;+27.843826;198.7500;+28.50000;CVN ;O;200.2265;+27.84383
200.207645;+31.343793;198.7500;+32.00000;CVN ;O;200.2076;+31.34379
186.557564;+31.307490;184.9999;+32.00000;CVN ;O;186.5576;+31.30749
186.554125;+33.307491;184.9999;+34.00000;CVN ;O;186.5541;+33.30749
093.215414;-11.030146;091.7500;-11.00000;CMA ;O;093.2154;-11.03015
111.973184;-11.252143;110.5000;-11.00000;CMA ;O;111.9732;-11.25214
111.676966;-33.250474;110.5000;-33.00000;CMA ;O;111.6770;-33.25047
099.903623;-33.112810;098.7499;-33.00000;CMA ;O;099.9036;-33.11281
092.898838;-33.028221;091.7500;-33.00000;CMA ;O;092.8988;-33.02822
092.992341;-27.278789;091.7500;-27.25000;CMA ;O;092.9923;-27.27879
122.848793;-00.369384;121.2499;+00.00000;CMI ;O;122.8488;-00.36938
109.599449;-00.224323;108.0000;+00.00000;CMI ;O;109.5994;-00.22432
109.616703;+01.275578;108.0000;+01.50000;CMI ;O;109.6167;+01.27558
106.867181;+01.307448;105.2500;+01.50000;CMI ;O;106.8672;+01.30745
106.914057;+05.307175;105.2500;+05.50000;CMI ;O;106.9141;+05.30717
106.664104;+05.310095;105.0000;+05.50000;CMI ;O;106.6641;+05.31009
106.717663;+09.809783;105.0000;+10.00000;CMI ;O;106.7177;+09.80978
106.748009;+12.309606;105.0000;+12.50000;CMI ;O;106.7480;+12.30961
114.240787;+12.223882;112.5000;+12.50000;CMI ;O;114.2408;+12.22388
114.252515;+13.223817;112.5000;+13.50000;CMI ;O;114.2525;+13.22382
118.871400;+13.173228;117.1249;+13.50000;CMI ;O;118.8714;+13.17323
118.832283;+09.673437;117.1249;+10.00000;CMI ;O;118.8323;+09.67344
120.580455;+09.654825;118.8750;+10.00000;CMI ;O;120.5805;+09.65483
120.548131;+06.654994;118.8750;+07.00000;CMI ;O;120.5481;+06.65499
122.921180;+06.630247;121.2499;+07.00000;CMI ;O;122.9212;+06.63025
309.684626;-08.563400;307.9999;-09.00000;CAP ;O;309.6846;-08.56340
301.693674;-08.643060;300.0000;-09.00000;CAP ;O;301.6937;-08.64306
301.726354;-11.676217;300.0000;-12.03333;CAP ;O;301.7264;-11.67622
301.915948;-27.641890;300.0000;-28.00000;CAP ;O;301.9159;-27.64189
306.897942;-27.591311;304.9999;-28.00000;CAP ;O;306.8979;-27.59131
321.831570;-27.459631;319.9999;-28.00000;CAP ;O;321.8316;-27.45963
